Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST?,STL,BLK,TOV,PF,PTS
1,Tyrese Haliburton,PG,23,IND,19,19,34.3,9.2,17.6,0.521,3.9,8.8,0.443,5.3,8.8,0.599,0.632,4.1,4.6,0.885,0.7,3.5,4.2,12.3,1,0.7,2.5,1.2,26.3
2,Trae Young,PG,25,ATL,20,20,35.6,8.1,19.7,0.412,3,8.5,0.353,5.1,11.2,0.457,0.489,7.6,8.7,0.874,0.7,2.1,2.7,10.5,1.5,0.1,3.9,1.6,26.8
3,Nikola Joki?,C,28,DEN,24,24,33.5,10.7,19.8,0.538,1.2,3.9,0.312,9.5,16,0.593,0.568,4.7,6,0.778,3.4,9.2,12.6,9.4,1.2,0.8,2.8,2.6,27.2
4,Luka Don?i?,PG,24,DAL,22,22,36.6,10.9,22.6,0.482,3.9,10.2,0.384,7,12.5,0.562,0.568,6.3,8,0.785,0.6,7.6,8.2,8.9,1.3,0.5,3.9,1.8,32
5,Fred VanVleet,PG,29,HOU,19,19,37.9,5.5,14.5,0.382,3.2,8.3,0.38,2.4,6.2,0.385,0.491,2.5,2.8,0.87,0.3,3.9,4.2,8.5,0.8,0.5,1.7,1.7,16.7
6,LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
7,Chris Paul,PG,38,GSW,20,7,26.7,3.2,7.8,0.406,1.2,3.5,0.343,2,4.3,0.459,0.484,1.4,1.6,0.903,0.3,3.4,3.7,7.4,1.5,0.1,1.2,1.8,8.9
8,Cade Cunningham,PG,22,DET,23,23,35,8.3,19.4,0.425,2,6,0.336,6.3,13.5,0.465,0.477,3.5,4,0.89,0.5,3.4,3.9,7.3,1,0.2,4.3,2.7,22
9,Damian Lillard,PG,33,MIL,21,21,35.6,7.1,17,0.419,3,8.4,0.35,4.2,8.6,0.486,0.506,7.8,8.4,0.921,0.7,3.9,4.6,7,1,0.2,2.8,1.6,25
10,Dennis Schröder,PG,30,TOR,23,23,31.7,5.5,13,0.42,1.7,5,0.339,3.8,8,0.47,0.485,2.7,3.1,0.861,0.5,2.4,3,7,1,0.1,1.7,2.2,15.3
11,Domantas Sabonis,C,27,SAC,22,22,34.8,7,12.4,0.563,0.5,1.3,0.393,6.5,11.1,0.582,0.583,4,6,0.674,3.5,8.7,12.2,6.9,1,0.7,3,3.5,18.5
12,James Harden,SG,34,LAC,18,18,33.5,4.8,10.3,0.462,2.3,5.8,0.394,2.5,4.6,0.549,0.573,4.1,4.7,0.871,0.3,4.3,4.6,6.8,1.6,0.6,2.3,2,15.9
13,LeBron James,PF,39,LAL,23,23,33.7,9.5,17.2,0.551,2.3,5.7,0.405,7.2,11.5,0.623,0.617,4,5.7,0.715,0.9,6.6,7.5,6.7,1.5,0.7,3.4,1.1,25.3
14,Tyrese Maxey,PG,23,PHI,21,21,37.8,9.3,19.8,0.47,3.3,8.2,0.407,6,11.6,0.514,0.554,5,5.6,0.898,0.6,3.6,4.1,6.7,0.8,0.6,1.4,1.9,27
15,Spencer Dinwiddie,PG,30,BRK,21,21,31.5,4.7,12,0.394,2.2,6.6,0.333,2.5,5.4,0.469,0.486,3,3.8,0.8,0.5,3.3,3.8,6.4,0.8,0.1,1.8,1.6,14.7
16,Joel Embiid,C,29,PHI,19,19,34.5,11.1,21.3,0.52,1.1,3.4,0.328,9.9,17.9,0.556,0.546,10.2,11.6,0.877,3.3,8.2,11.5,6.4,1.1,1.9,3.9,2.9,33.4
17,De'Aaron Fox,PG,26,SAC,17,17,35.6,10.4,22.1,0.469,3.1,8.2,0.381,7.2,13.9,0.521,0.54,5.6,7.7,0.733,0.9,3.5,4.5,6.4,1.4,0.3,2.4,2.8,29.5
18,D'Angelo Russell,PG,27,LAL,24,24,30,6.1,12.8,0.479,2.2,5.4,0.4,4,7.4,0.537,0.564,1.8,2.3,0.782,0.4,2.8,3.2,6.3,0.8,0.5,1.8,2,16.2
19,Mike Conley,PG,36,MIN,22,22,29.7,3.8,8.5,0.447,2.3,5.3,0.427,1.5,3.2,0.479,0.58,1.5,1.6,0.943,0.5,2.6,3.1,6.2,1,0.1,1,1.8,11.4
20,Shai Gilgeous-Alexander,PG,25,OKC,21,21,34.7,11.2,20.4,0.55,1.1,3.2,0.343,10.1,17.2,0.588,0.577,6.9,7.5,0.917,0.9,4.6,5.5,6.2,2.8,0.9,2,2.5,30.4
21,Darius Garland,PG,24,CLE,19,19,33.9,7.5,15.9,0.474,1.7,5.1,0.34,5.8,10.8,0.537,0.528,4,4.8,0.835,0.6,2.2,2.8,6.1,1.6,0.2,3.7,1.5,20.8
22,Kevin Durant,PF,35,PHO,19,19,36.7,10.6,20.4,0.521,2.3,4.6,0.5,8.3,15.8,0.527,0.577,7.4,8.3,0.892,0.3,6.2,6.5,5.7,0.7,1.2,3.6,1.9,31
23,Scottie Barnes,SG,22,TOR,23,23,35,7.4,15.7,0.471,2,5.3,0.382,5.3,10.3,0.517,0.536,3,3.9,0.756,2.8,6.3,9,5.6,1.7,1.2,2.4,2,19.8
24,Jalen Brunson,PG,27,NYK,22,22,35.5,8.8,18.8,0.47,3,6.7,0.446,5.8,12,0.483,0.55,4,5,0.8,0.6,2.9,3.5,5.6,1,0,2.2,2.3,24.6
25,Alperen ?engün,C,21,HOU,20,20,32.8,8.4,15.6,0.54,0.8,2.6,0.314,7.6,13,0.585,0.566,2.9,4.6,0.637,2.5,6.6,9.1,5.6,1,0.9,2.7,3.2,20.5
26,Brandon Ingram,SF,26,NOP,21,21,34,8.8,18,0.488,1.3,4.3,0.3,7.5,13.8,0.547,0.524,4,5,0.783,0.6,4.5,5.1,5.4,0.7,0.1,2.7,2.1,22.9
27,Dejounte Murray,SG,27,ATL,22,22,34.3,7.6,17,0.447,2.3,5.9,0.385,5.3,11.1,0.48,0.513,2.6,3,0.877,0.8,3.6,4.5,5.4,1.7,0.2,2.3,1.5,20
28,Julius Randle,PF,29,NYK,22,22,35,7.8,17.5,0.444,1.7,5.5,0.308,6.1,12,0.506,0.492,4.7,6.5,0.722,2.1,7.5,9.6,5.4,0.7,0.2,3.3,2.5,22
29,Desmond Bane,SG,25,MEM,22,22,34.4,9.1,19.4,0.469,3.3,8.7,0.382,5.8,10.7,0.54,0.555,3.3,3.8,0.867,0.9,3.4,4.3,5.3,1.3,0.7,2.9,3.2,24.8
30,DeMar DeRozan,SF,34,CHI,23,23,36,7.7,17.6,0.437,1,2.7,0.365,6.7,14.9,0.45,0.465,5.9,7.2,0.813,0.8,2.7,3.5,5.3,1,0.8,1.3,2.3,22.3
31,Keyonte George,PG,20,UTA,23,15,26.7,3.6,10,0.362,1.7,5.3,0.322,1.9,4.7,0.407,0.448,2.5,3.2,0.781,0.5,2.6,3.1,5.2,0.5,0.1,2.3,1.1,11.4
32,Kyrie Irving,SG,31,DAL,17,17,31.8,8.6,18.2,0.471,2.5,6.6,0.384,6.1,11.6,0.52,0.54,3.3,3.6,0.903,0.6,3.4,3.9,5.2,1.2,0.3,1.4,1.8,23
33,Giannis Antetokounmpo,PF,29,MIL,22,22,34.9,11.6,18.9,0.617,0.4,1.7,0.243,11.2,17.2,0.653,0.628,6.9,10.4,0.667,2.6,8,10.7,5.1,1.4,1.3,3.9,3,30.6
34,Tre Jones,PG,24,SAS,19,0,23.9,2.9,6.8,0.434,0.6,2.2,0.293,2.3,4.6,0.5,0.481,1.4,1.7,0.844,0.5,2.3,2.8,5.1,0.8,0.2,1.3,1.3,7.9
35,Donovan Mitchell,SG,27,CLE,19,19,35.6,9.4,20.8,0.452,3.1,8.7,0.349,6.4,12.1,0.526,0.525,5.5,6.3,0.874,1.1,4.7,5.7,5.1,1.9,0.4,2.7,2.1,27.4
36,Derrick White,SG,29,BOS,19,19,32.6,4.9,10.3,0.482,2.5,5.9,0.425,2.4,4.3,0.561,0.605,3.1,3.5,0.879,0.7,3.2,3.8,5.1,1.1,0.9,1.8,2.5,15.5
